合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约
白银 (ag2112),5049,5553/4544,12%,12%,9088.2元,0.5/万分之,0.5/万分之,0.5/万分之,15,7.6元,7.4,主力合约
沪铅 (pb2110),14655,15825/13480,10%,10%,7327.5元,0.4/万分之,0.4/万分之,0/万分之,25,2.9元,22.1,主力合约
燃料油 (fu2201),2773,2994/2551,10%,10%,2773元,0.5/万分之,0.5/万分之,0/万分之,10,1.4元,8.6,主力合约
石油沥青 (bu2112),3292,3554/3028,10%,10%,3292元,1/万分之,1/万分之,1/万分之,20,6.6元,13.4,主力合约
沪镍 (ni2110),147270,159050/135480,10%,10%,14727元,3元,3元,3元,10,6元,4,主力合约
纸浆 (sp2110),6238,6798/5676,11%,11%,6861.8元,0.5/万分之,0.5/万分之,0/万分之,20,3.1元,16.9,主力合约
铜 (cu2110),70210,75820/64590,10%,10%,35105元,0.5/万分之,0.5/万分之,1/万分之,50,52.7元,-2.7,主力合约
沪锌 (zn2110),22610,24415/20800,10%,10%,11305元,3元,3元,0元,25,3元,22,主力合约
热卷 (hc2201),5778,6355/5200,12%,12%,6933.6元,1/万分之,1/万分之,1/万分之,10,11.6元,-1.6,主力合约
黄金 (au2112),372.94,395.3/350.56,8%,8%,29835.2元,10元,10元,0元,20,10元,10,主力合约
天然橡胶 (ru2201),13805,14905/12700,10%,10%,13805元,3元,3元,0元,50,3元,47,主力合约
螺纹钢 (rb2201),5604,6164/5043,12%,12%,6724.8元,1/万分之,1/万分之,1/万分之,10,11.2元,-1.2,主力合约
沪铝 (al2110),22670,24935/20400,12%,12%,13602元,3元,3元,3元,25,6元,19,主力合约
锡 (sn2110),258760,279460/238050,10%,10%,25876元,3元,3元,3元,10,6元,4,主力合约
不锈钢 (ss2110),20480,22525/18430,12%,12%,12288元,2元,2元,12元,25,14元,11,主力合约
玉米淀粉 (cs2111),2808,2976/2640,7%,7%,1965.6元,0.2元,0.2元,0元,10,0.2元,9.8,主力合约
乙二醇 (eg2201),5479,5917/5041,11%,11%,6026.9元,3元,3元,0元,10,3元,7,主力合约
聚氯乙烯 (v2201),10160,10970/9350,9%,9%,4572元,1元,1元,1元,25,2元,23,主力合约
焦炭 (j2201),3334,3634/3034,20%,20%,66680元,6/万分之,6/万分之,6/万分之,50,400.1元,-350.1,主力合约
豆油 (y2201),9094,9820/8368,9%,9%,8184.6元,2.5元,2.5元,0元,20,2.5元,17.5,主力合约
纤维板 (fb2110),1344.5,1411.5/1277.5,10%,10%,1344.5元,1/万分之,1/万分之,1/万分之,5,2.7元,2.3,主力合约
胶板 (bb2110),232.8,244.4/221.2,40%,40%,46560元,1/万分之,1/万分之,0.5/万分之,25,17.5元,7.5,主力合约
焦煤 (jm2201),2786,3036.5/2535.5,20%,20%,33432元,6/万分之,6/万分之,6/万分之,30,200.6元,-170.6,主力合约
棕榈 (p2201),8524,9204/7844,10%,10%,8524元,2.5元,2.5元,0元,20,2.5元,17.5,主力合约
黄大豆2号 (b2111),4661,5033/4289,9%,9%,4194.9元,1元,1元,1元,10,2元,8,主力合约
线型低密度聚乙烯 (l2201),9125,9855/8395,9%,9%,4106.25元,1元,1元,1元,25,2元,23,主力合约
粳米 (rr2111),3484,3658/3310,6%,6%,2090.4元,0.2元,0.2元,0元,10,0.2元,9.8,主力合约
液化石油气 (pg2111),5756,6216/5296,11%,11%,12663.2元,6元,6元,6元,20,12元,8,主力合约
苯乙烯 (eb2110),9676,10643/8709,12%,12%,5805.6元,3元,3元,3元,5,6元,-1,主力合约
黄玉米 (c2201),2448,2619/2277,11%,11%,2692.8元,1.2元,1.2元,0元,10,1.2元,8.8,主力合约
鸡蛋 (jd2201),4365,4714/4016,9%,9%,3928.5元,1.5/万分之,1.5/万分之,1.5/万分之,10,13.1元,-3.1,主力合约
铁矿石 (i2201),676,750/602,13%,13%,8788元,1/万分之,1/万分之,1/万分之,50,13.5元,36.5,主力合约
聚丙烯 (pp2201),9189,9924/8454,9%,9%,4135.05元,1元,1元,1元,5,2元,3,主力合约
豆粕 (m2201),3533,3780/3286,8%,8%,2826.4元,1.5元,1.5元,0元,10,1.5元,8.5,主力合约
黄大豆1号 (a2111),5900,6372/5428,12%,12%,7080元,2元,2元,2元,10,4元,6,主力合约
生猪 (lh2201),14295,15435/13155,15%,15%,34308元,4/万分之,2/万分之,4/万分之,80,183元,-103,主力合约
玻璃 (FG201),2332,2496/2168,15%,15%,6996元,6元,6元,6元,20,12元,8,主力合约
普通小麦 (PM111),2436,2558/2314,6%,6%,7308元,5元,5元,5元,50,10元,40,主力合约
早籼稻 (RI111),2686,2821/2551,6%,6%,3223.2元,2.5元,2.5元,2.5元,20,5元,15,主力合约
鲜苹果 (AP201),5641,5980/5302,8%,8%,4512.8元,5元,5元,20元,10,25元,-15,主力合约
纯碱 (SA201),2933,3168/2698,12%,12%,7039.2元,3.5元,3.5元,0元,20,3.5元,16.5,主力合约
动力煤ZC (ZC201),1063.6,1148.8/978.4,30%,30%,31908元,30元,30元,30元,20,60元,-40,主力合约
尿素 (UR201),2660,2900/2420,11%,11%,5852元,5元,5元,5元,20,10元,10,主力合约
郑醇 (MA201),3165,3387/2943,8%,8%,2532元,2元,2元,6元,10,8元,2,主力合约
锰硅 (SM201),10188,11004/9372,10%,10%,5094元,3元,3元,0元,10,3元,7,主力合约
菜籽粕 (RM201),2907,3082/2732,7%,7%,2034.9元,1.5元,1.5元,0元,10,1.5元,8.5,主力合约
白糖 (SR201),5868,6221/5515,7%,7%,4107.6元,3元,3元,0元,10,3元,7,主力合约
棉纱 (CY201),25015,26520/23510,7%,7%,8755.25元,4元,4元,0元,25,4元,21,主力合约
红枣 (CJ201),13915,14890/12940,10%,10%,6957.5元,9元,9元,9元,25,18元,7,主力合约
PTA (TA201),4996,5346/4646,8%,8%,1998.4元,3元,3元,0元,10,3元,7,主力合约
棉花 (CF201),17545,18950/16140,10%,10%,8772.5元,4.3元,4.3元,0元,25,4.3元,20.7,主力合约
短纤 (PF201),7100,7598/6602,8%,8%,2840元,3元,3元,3元,10,6元,4,主力合约
硅铁 (SF201),12126,13098/11154,10%,10%,6063元,3元,3元,0元,10,3元,7,主力合约
菜籽油 (OI201),10961,11619/10303,7%,7%,7672.7元,2元,2元,0元,10,2元,8,主力合约
油菜籽 (RS107),5719,6291/5147,20%,20%,11438元,2元,2元,2元,10,4元,6,主力合约
花生仁 (PK201),8432,9024/7840,8%,8%,3372.8元,4元,4元,4元,10,8元,2,主力合约
国际铜 (bc2111),62490,67480/57490,10%,10%,31245元,0.1/万分之,0.1/万分之,0/万分之,50,3.1元,46.9,主力合约
低硫燃料油 (lu2112),3580,3866/3293,10%,10%,3580元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,主力合约
20号胶 (nr2111),11170,12060/10275,10%,10%,11170元,0.2/万分之,0.2/万分之,0/万分之,50,2.2元,47.8,主力合约
原油 (sc2111),478.4,516.6/440.1,10%,10%,47840元,20元,20元,0元,100,20元,80,主力合约
沪深300指数 (IF2109),4820,5784/3856,12%,12%,173520元,0.23/万分之,0.23/万分之,3.45/万分之,60,532.1元,-472.1,主力合约
10年国债 (T2112),99.615,101.605/97.625,2%,2%,19923元,3.03元,3.03元,0元,50,3元,47,主力合约
上证50指数 (IH2109),3135.8,3762.8/2508.8,12%,12%,112888.8元,0.23/万分之,0.23/万分之,3.45/万分之,60,346.2元,-286.2,主力合约
中证500指数 (IC2109),7461.4,8953.6/5969.2,14%,14%,208919.2元,0.23/万分之,0.23/万分之,3.45/万分之,40,549.2元,-509.2,主力合约
5年期国债 (TF2112),100.835,102.045/99.625,1.2%,1.2%,12100.2元,3.03元,3.03元,0元,50,3元,47,主力合约
2年期国债 (TS2112),100.66,101.16/100.16,0.5%,0.5%,10066元,3.03元,3.03元,0元,100,3元,97,主力合约
