合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
沪镍 (ni2202),144960,156550/133360,10%,10%,14496元,3元,3元,3元,10,6元,4,,0.0276%
沪镍 (ni2201),144990,156580/133390,10%,10%,14499元,3元,3元,3元,10,6元,4,,0.0276%
沪镍 (ni2112),145630,157280/133970,10%,10%,14563元,3元,3元,3元,10,6元,4,,0.0275%
沪镍 (ni2111),146070,157750/134380,10%,10%,14607元,3元,3元,3元,10,6元,4,,0.0274%
沪镍 (ni2110),147270,159050/135480,10%,10%,14727元,3元,3元,3元,10,6元,4,主力合约,0.0272%
黄金 (au2110),372.54,394.88/350.18,10%,10%,37254元,10元,10元,0元,20,10元,10,,0.0268%
黄金 (au2107),367.5,389.54/345.44,20%,20%,73500元,2元,2元,0元,20,2元,18,,0.0245%
黄金 (au2109),368.24,390.32/346.14,20%,20%,73648元,2元,2元,0元,20,2元,18,,0.0244%
胶板 (bb2106),205.45,217.75/193.15,40%,40%,41090元,1/万分之,0.5/万分之,0.5/万分之,25,15.4元,9.6,,0.0234%
焦煤 (jm2208),2166,2360.5/1971.5,15%,15%,19494元,1/万分之,1/万分之,1/万分之,30,26元,4,,0.0205%
焦煤 (jm2207),2191.5,2388.5/1994.5,15%,15%,19723.5元,1/万分之,1/万分之,1/万分之,30,26.3元,3.7,,0.0188%
胶板 (bb2109),222,235.3/208.7,40%,40%,44400元,1/万分之,1/万分之,0.5/万分之,25,16.7元,8.3,,0.0187%
纯碱 (SA109),2748,2941/2555,20%,20%,10992元,6元,6元,12元,20,18元,2,,0.0182%
锡 (sn2207),237040,256000/218070,10%,10%,23704元,3元,3元,3元,10,6元,4,,0.0169%
锡 (sn2208),239460,258610/220300,10%,10%,23946元,3元,3元,3元,10,6元,4,,0.0167%
胶板 (bb2107),230.55,244.35/216.75,40%,40%,46110元,1/万分之,1/万分之,0.5/万分之,25,17.3元,7.7,,0.0167%
锡 (sn2204),241950,261300/222590,10%,10%,24195元,3元,3元,3元,10,6元,4,,0.0165%
锡 (sn2206),243550,263030/224060,10%,10%,24355元,3元,3元,3元,10,6元,4,,0.0164%
锡 (sn2205),246400,266110/226680,10%,10%,24640元,3元,3元,3元,10,6元,4,,0.0162%
锡 (sn2203),247100,266860/227330,10%,10%,24710元,3元,3元,3元,10,6元,4,,0.0162%
胶板 (bb2110),232.8,244.4/221.2,40%,40%,46560元,1/万分之,1/万分之,0.5/万分之,25,17.5元,7.5,主力合约,0.0161%
锡 (sn2202),249970,269960/229970,10%,10%,24997元,3元,3元,3元,10,6元,4,,0.0160%
锡 (sn2201),251390,271500/231270,10%,10%,25139元,3元,3元,3元,10,6元,4,,0.0159%
锡 (sn2112),253560,273840/233270,10%,10%,25356元,3元,3元,3元,10,6元,4,,0.0158%
锡 (sn2111),256380,276890/235860,10%,10%,25638元,3元,3元,3元,10,6元,4,,0.0156%
锡 (sn2110),258760,279460/238050,10%,10%,25876元,3元,3元,3元,10,6元,4,主力合约,0.0155%
沪镍 (ni2106),131870,143730/120000,20%,20%,26374元,3元,3元,3元,10,6元,4,,0.0152%
黄金 (au2108),366.74,388.74/344.72,20%,20%,73348元,10元,10元,0元,20,10元,10,,0.0136%
沪镍 (ni2109),147990,159820/136150,20%,20%,29598元,3元,3元,3元,10,6元,4,,0.0135%
焦煤 (jm2206),2278.5,2483.5/2073.5,15%,15%,20506.5元,1/万分之,1/万分之,1/万分之,30,27.3元,2.7,,0.0132%
黄金 (au2106),385.62,416.46/354.76,20%,20%,77124元,10元,10元,0元,20,10元,10,,0.0130%
锡 (sn2106),208370,227120/189610,20%,20%,41674元,3元,3元,3元,10,6元,4,,0.0096%
锡 (sn2109),256070,276550/235580,20%,20%,51214元,3元,3元,3元,10,6元,4,,0.0078%
沪镍 (ni2107),139700,150870/128520,20%,20%,27940元,3元,3元,6元,10,9元,1,,0.0036%
沪镍 (ni2108),148390,160260/136510,20%,20%,29678元,3元,3元,6元,10,9元,1,,0.0034%
焦煤 (jm2204),2446,2666/2226,15%,15%,22014元,1/万分之,1/万分之,1/万分之,30,29.4元,0.6,,0.0027%
锡 (sn2107),221280,238980/203570,20%,20%,44256元,3元,3元,6元,10,9元,1,,0.0023%
锡 (sn2108),240340,259560/221110,20%,20%,48068元,3元,3元,6元,10,9元,1,,0.0021%
螺纹钢 (rb2106),4898,5387/4408,20%,20%,9796元,1/万分之,1/万分之,1/万分之,10,9.8元,0.2,,0.0020%
螺纹钢 (rb2107),4950,5346/4554,20%,20%,9900元,1/万分之,1/万分之,1/万分之,10,9.9元,0.1,,0.0010%
尿素 (UR107),2650,2809/2491,20%,20%,10600元,10元,10元,10元,20,20元,0,,0.0000%
郑醇 (MA109),2932,3138/2726,20%,20%,5864元,2元,2元,8元,10,10元,0,,0.0000%
铜 (cu2107),68590,74070/63100,20%,20%,68590元,0.5/万分之,0.5/万分之,1/万分之,50,51.4元,-1.4,,-0.0020%
焦煤 (jm2203),2568,2799/2337,15%,15%,23112元,1/万分之,1/万分之,1/万分之,30,30.8元,-0.8,,-0.0035%
铜 (cu2108),70040,75640/64430,20%,20%,70040元,0.5/万分之,0.5/万分之,1/万分之,50,52.5元,-2.5,,-0.0036%
铜 (cu2109),70480,76110/64840,20%,20%,70480元,0.5/万分之,0.5/万分之,1/万分之,50,52.9元,-2.9,,-0.0041%
铜 (cu2106),71130,77530/64720,20%,20%,71130元,0.5/万分之,1/万分之,1/万分之,50,53.3元,-3.3,,-0.0046%
螺纹钢 (rb2208),5139,5652/4625,12%,12%,6166.8元,1/万分之,1/万分之,1/万分之,10,10.3元,-0.3,,-0.0049%
螺纹钢 (rb2209),5134,5647/4620,12%,12%,6160.8元,1/万分之,1/万分之,1/万分之,10,10.3元,-0.3,,-0.0049%
铜 (cu2203),69590,75150/64020,10%,10%,34795元,0.5/万分之,0.5/万分之,1/万分之,50,52.2元,-2.2,,-0.0063%
螺纹钢 (rb2206),5199,5718/4679,12%,12%,6238.8元,1/万分之,1/万分之,1/万分之,10,10.4元,-0.4,,-0.0064%
螺纹钢 (rb2207),5178,5695/4660,12%,12%,6213.6元,1/万分之,1/万分之,1/万分之,10,10.4元,-0.4,,-0.0064%
螺纹钢 (rb2108),5343,5770/4915,20%,20%,10686元,1/万分之,1/万分之,1/万分之,10,10.7元,-0.7,,-0.0066%
铜 (cu2201),69900,75490/64300,10%,10%,34950元,0.5/万分之,0.5/万分之,1/万分之,50,52.4元,-2.4,,-0.0069%
铜 (cu2202),69830,75410/64240,10%,10%,34915元,0.5/万分之,0.5/万分之,1/万分之,50,52.4元,-2.4,,-0.0069%
铜 (cu2112),69990,75580/64390,10%,10%,34995元,0.5/万分之,0.5/万分之,1/万分之,50,52.5元,-2.5,,-0.0071%
铜 (cu2208),70170,75780/64550,10%,10%,35085元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2205),70110,75710/64500,10%,10%,35055元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2111),70090,75690/64480,10%,10%,35045元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2204),70080,75680/64470,10%,10%,35040元,0.5/万分之,0.5/万分之,1/万分之,50,52.6元,-2.6,,-0.0074%
铜 (cu2206),70290,75910/64660,10%,10%,35145元,0.5/万分之,0.5/万分之,1/万分之,50,52.7元,-2.7,,-0.0077%
铜 (cu2110),70210,75820/64590,10%,10%,35105元,0.5/万分之,0.5/万分之,1/万分之,50,52.7元,-2.7,主力合约,-0.0077%
螺纹钢 (rb2205),5247,5771/4722,12%,12%,6296.4元,1/万分之,1/万分之,1/万分之,10,10.5元,-0.5,,-0.0079%
铜 (cu2207),70390,76020/64750,10%,10%,35195元,0.5/万分之,0.5/万分之,1/万分之,50,52.8元,-2.8,,-0.0080%
螺纹钢 (rb2204),5286,5814/4757,12%,12%,6343.2元,1/万分之,1/万分之,1/万分之,10,10.6元,-0.6,,-0.0095%
螺纹钢 (rb2203),5278,5805/4750,12%,12%,6333.6元,1/万分之,1/万分之,1/万分之,10,10.6元,-0.6,,-0.0095%
苯乙烯 (eb2107),10222,11244/9200,20%,20%,10222元,3元,3元,3元,5,6元,-1,,-0.0098%
螺纹钢 (rb2109),5572,6017/5126,20%,20%,11144元,1/万分之,1/万分之,1/万分之,10,11.1元,-1.1,,-0.0099%
焦煤 (jm2202),2698.5,2941/2456,15%,15%,24286.5元,1/万分之,1/万分之,1/万分之,30,32.4元,-2.4,,-0.0099%
热卷 (hc2106),5579,6136/5021,20%,20%,11158元,1/万分之,1/万分之,1/万分之,10,11.2元,-1.2,,-0.0108%
热卷 (hc2208),5365,5901/4828,12%,12%,6438元,1/万分之,1/万分之,1/万分之,10,10.7元,-0.7,,-0.0109%
螺纹钢 (rb2202),5361,5897/4824,12%,12%,6433.2元,1/万分之,1/万分之,1/万分之,10,10.7元,-0.7,,-0.0109%
苯乙烯 (eb2109),8888,9776/8000,20%,20%,8888元,3元,3元,3元,5,6元,-1,,-0.0113%
苯乙烯 (eb2106),8850,9735/7965,20%,20%,8850元,3元,3元,3元,5,6元,-1,,-0.0113%
苯乙烯 (eb2108),8788,9666/7910,20%,20%,8788元,3元,3元,3元,5,6元,-1,,-0.0114%
热卷 (hc2207),5422,5964/4879,12%,12%,6506.4元,1/万分之,1/万分之,1/万分之,10,10.8元,-0.8,,-0.0123%
热卷 (hc2108),5763,6224/5301,20%,20%,11526元,1/万分之,1/万分之,1/万分之,10,11.5元,-1.5,,-0.0130%
热卷 (hc2206),5435,5978/4891,12%,12%,6522元,1/万分之,1/万分之,1/万分之,10,10.9元,-0.9,,-0.0138%
热卷 (hc2109),5850,6318/5382,20%,20%,11700元,1/万分之,1/万分之,1/万分之,10,11.7元,-1.7,,-0.0145%
焦炭 (j2207),2818.5,3072/2565,15%,15%,42277.5元,1/万分之,1/万分之,1/万分之,50,56.4元,-6.4,,-0.0151%
热卷 (hc2205),5488,6036/4939,12%,12%,6585.6元,1/万分之,1/万分之,1/万分之,10,11元,-1,,-0.0152%
热卷 (hc2107),5906,6378/5433,20%,20%,11812元,1/万分之,1/万分之,1/万分之,10,11.8元,-1.8,,-0.0152%
热卷 (hc2204),5564,6120/5007,12%,12%,6676.8元,1/万分之,1/万分之,1/万分之,10,11.1元,-1.1,,-0.0165%
焦炭 (j2206),2861,3118/2604,15%,15%,42915元,1/万分之,1/万分之,1/万分之,50,57.2元,-7.2,,-0.0168%
苯乙烯 (eb2110),9676,10643/8709,12%,12%,5805.6元,3元,3元,3元,5,6元,-1,主力合约,-0.0172%
苯乙烯 (eb2111),9608,10568/8648,12%,12%,5764.8元,3元,3元,3元,5,6元,-1,,-0.0173%
硅铁 (SF109),11526,12218/10834,20%,20%,11526元,3元,3元,9元,10,12元,-2,,-0.0174%
焦炭 (j2208),2881.5,3140.5/2622.5,15%,15%,43222.5元,1/万分之,1/万分之,1/万分之,50,57.6元,-7.6,,-0.0176%
苯乙烯 (eb2112),9460,10406/8514,12%,12%,5676元,3元,3元,3元,5,6元,-1,,-0.0176%
热卷 (hc2203),5607,6167/5046,12%,12%,6728.4元,1/万分之,1/万分之,1/万分之,10,11.2元,-1.2,,-0.0178%
螺纹钢 (rb2201),5604,6164/5043,12%,12%,6724.8元,1/万分之,1/万分之,1/万分之,10,11.2元,-1.2,主力合约,-0.0178%
苯乙烯 (eb2201),9328,10260/8396,12%,12%,5596.8元,3元,3元,3元,5,6元,-1,,-0.0179%
苯乙烯 (eb2202),9153,10068/8238,12%,12%,5491.8元,3元,3元,3元,5,6元,-1,,-0.0182%
鸡蛋 (jd2106),3788,4091/3485,20%,20%,7576元,1.5/万分之,1.5/万分之,1.5/万分之,10,11.4元,-1.4,,-0.0185%
苯乙烯 (eb2203),8993,9892/8094,12%,12%,5395.8元,3元,3元,3元,5,6元,-1,,-0.0185%
苯乙烯 (eb2205),8967,9863/8071,12%,12%,5380.2元,3元,3元,3元,5,6元,-1,,-0.0186%
苯乙烯 (eb2204),8935,9828/8042,12%,12%,5361元,3元,3元,3元,5,6元,-1,,-0.0187%
苯乙烯 (eb2207),8880,9768/7992,12%,12%,5328元,3元,3元,3元,5,6元,-1,,-0.0188%
苯乙烯 (eb2206),8737,9610/7864,12%,12%,5242.2元,3元,3元,3元,5,6元,-1,,-0.0191%
苯乙烯 (eb2208),8667,9533/7801,12%,12%,5200.2元,3元,3元,3元,5,6元,-1,,-0.0192%
螺纹钢 (rb2112),5698,6267/5128,12%,12%,6837.6元,1/万分之,1/万分之,1/万分之,10,11.4元,-1.4,,-0.0205%
螺纹钢 (rb2111),5683,6251/5114,12%,12%,6819.6元,1/万分之,1/万分之,1/万分之,10,11.4元,-1.4,,-0.0205%
热卷 (hc2202),5680,6248/5112,12%,12%,6816元,1/万分之,1/万分之,1/万分之,10,11.4元,-1.4,,-0.0205%
热卷 (hc2201),5778,6355/5200,12%,12%,6933.6元,1/万分之,1/万分之,1/万分之,10,11.6元,-1.6,主力合约,-0.0231%
焦炭 (j2204),3032.5,3305/2760,15%,15%,45487.5元,1/万分之,1/万分之,1/万分之,50,60.7元,-10.7,,-0.0235%
热卷 (hc2111),5846,6430/5261,12%,12%,7015.2元,1/万分之,1/万分之,1/万分之,10,11.7元,-1.7,,-0.0242%
热卷 (hc2112),5833,6416/5249,12%,12%,6999.6元,1/万分之,1/万分之,1/万分之,10,11.7元,-1.7,,-0.0243%
焦炭 (j2203),3095.5,3374/2817,15%,15%,46432.5元,1/万分之,1/万分之,1/万分之,50,61.9元,-11.9,,-0.0256%
焦炭 (j2202),3207.5,3496/2919,15%,15%,48112.5元,1/万分之,1/万分之,1/万分之,50,64.2元,-14.2,,-0.0295%
焦煤 (jm2209),2145.5,2338.5/1952.5,15%,15%,19309.5元,1.4/万分之,1/万分之,1.4/万分之,30,36元,-6,,-0.0311%
鸡蛋 (jd2108),4400,4752/4048,20%,20%,8800元,1.5/万分之,1.5/万分之,1.5/万分之,10,13.2元,-3.2,,-0.0364%
鸡蛋 (jd2203),3780,4082/3478,9%,9%,3402元,1.5/万分之,1.5/万分之,1.5/万分之,10,11.3元,-1.3,,-0.0382%
鸡蛋 (jd2202),3778,4080/3476,9%,9%,3400.2元,1.5/万分之,1.5/万分之,1.5/万分之,10,11.3元,-1.3,,-0.0382%
鸡蛋 (jd2107),4601,4969/4233,20%,20%,9202元,1.5/万分之,1.5/万分之,1.5/万分之,10,13.8元,-3.8,,-0.0413%
鸡蛋 (jd2109),4632,5002/4262,20%,20%,9264元,1.5/万分之,1.5/万分之,1.5/万分之,10,13.9元,-3.9,,-0.0421%
焦煤 (jm2205),2324.5,2533.5/2115.5,15%,15%,20920.5元,1.4/万分之,1/万分之,1.4/万分之,30,39.1元,-9.1,,-0.0435%
鸡蛋 (jd2204),3934,4248/3620,9%,9%,3540.6元,1.5/万分之,1.5/万分之,1.5/万分之,10,11.8元,-1.8,,-0.0508%
鸡蛋 (jd2206),3964,4281/3647,9%,9%,3567.6元,1.5/万分之,1.5/万分之,1.5/万分之,10,11.9元,-1.9,,-0.0533%
鸡蛋 (jd2205),4161,4493/3829,9%,9%,3744.9元,1.5/万分之,1.5/万分之,1.5/万分之,10,12.5元,-2.5,,-0.0668%
焦炭 (j2209),2806.5,3059/2554,15%,15%,42097.5元,1.4/万分之,1/万分之,1.4/万分之,50,78.6元,-28.6,,-0.0679%
鸡蛋 (jd2207),4192,4527/3857,9%,9%,3772.8元,1.5/万分之,1.5/万分之,1.5/万分之,10,12.6元,-2.6,,-0.0689%
鸡蛋 (jd2110),4249,4588/3910,9%,9%,3824.1元,1.5/万分之,1.5/万分之,1.5/万分之,10,12.7元,-2.7,,-0.0706%
焦炭 (j2205),2945.5,3210.5/2680.5,15%,15%,44182.5元,1.4/万分之,1/万分之,1.4/万分之,50,82.5元,-32.5,,-0.0736%
鸡蛋 (jd2201),4365,4714/4016,9%,9%,3928.5元,1.5/万分之,1.5/万分之,1.5/万分之,10,13.1元,-3.1,主力合约,-0.0789%
鸡蛋 (jd2111),4359,4707/4011,9%,9%,3923.1元,1.5/万分之,1.5/万分之,1.5/万分之,10,13.1元,-3.1,,-0.0790%
玻璃 (FG109),3082,3329/2835,20%,20%,12328元,15元,15元,15元,20,30元,-10,,-0.0811%
鸡蛋 (jd2112),4565,4930/4200,9%,9%,4108.5元,1.5/万分之,1.5/万分之,1.5/万分之,10,13.7元,-3.7,,-0.0901%
鸡蛋 (jd2208),4807,5191/4423,9%,9%,4326.3元,1.5/万分之,1.5/万分之,1.5/万分之,10,14.4元,-4.4,,-0.1017%
动力煤ZC (ZC110),1270.2,1372/1168.4,30%,30%,38106元,30元,30元,30元,20,60元,-40,,-0.1050%
铁矿石 (i2109),851.5,936.5/766.5,20%,20%,17030元,4/万分之,1/万分之,4/万分之,50,68.1元,-18.1,,-0.1063%
动力煤ZC (ZC111),1188.8,1284/1093.6,30%,30%,35664元,30元,30元,30元,20,60元,-40,,-0.1122%
动力煤ZC (ZC112),1136.4,1227.4/1045.4,30%,30%,34092元,30元,30元,30元,20,60元,-40,,-0.1173%
动力煤ZC (ZC201),1063.6,1148.8/978.4,30%,30%,31908元,30元,30元,30元,20,60元,-40,主力合约,-0.1254%
螺纹钢 (rb2110),5607,6167/5046,12%,12%,6728.4元,1/万分之,1/万分之,3/万分之,10,22.4元,-12.4,,-0.1843%
动力煤ZC (ZC108),1054.6,1160.2/949,20%,20%,21092元,30元,30元,30元,20,60元,-40,,-0.1896%
热卷 (hc2110),5848,6432/5263,12%,12%,7017.6元,1/万分之,1/万分之,3/万分之,10,23.4元,-13.4,,-0.1909%
动力煤ZC (ZC107),1038.8,1142.8/934.8,20%,20%,20776元,30元,30元,30元,20,60元,-40,,-0.1925%
动力煤ZC (ZC202),986.4,1065.4/907.4,20%,20%,19728元,30元,30元,30元,20,60元,-40,,-0.2028%
生猪 (lh2109),13265,14325/12205,20%,20%,42448元,4/万分之,2/万分之,4/万分之,80,169.8元,-89.8,,-0.2116%
动力煤ZC (ZC203),931.2,1005.8/856.6,20%,20%,18624元,30元,30元,30元,20,60元,-40,,-0.2148%
焦煤 (jm2109),2956.5,3193/2720,20%,20%,35478元,3/万分之,1/万分之,3/万分之,30,106.4元,-76.4,,-0.2153%
中证500指数 (IC2106),6611.4,7933.6/5289.2,14%,14%,185119.2元,0.23/万分之,3.45/万分之,3.45/万分之,40,486.6元,-446.6,,-0.2412%
中证500指数 (IC2107),6920,8304/5536,14%,14%,193760元,0.23/万分之,0.23/万分之,3.45/万分之,40,509.3元,-469.3,,-0.2422%
中证500指数 (IC2108),6940.8,8328.8/5552.8,14%,14%,194342.4元,0.23/万分之,0.23/万分之,3.45/万分之,40,510.8元,-470.8,,-0.2423%
中证500指数 (IC2203),7028.6,7731.4/6325.8,14%,14%,196800.8元,0.23/万分之,0.23/万分之,3.45/万分之,40,517.3元,-477.3,,-0.2425%
中证500指数 (IC2112),7218,7939.8/6496.2,14%,14%,202104元,0.23/万分之,0.23/万分之,3.45/万分之,40,531.2元,-491.2,,-0.2430%
中证500指数 (IC2110),7377,8114.6/6639.4,14%,14%,206556元,0.23/万分之,0.23/万分之,3.45/万分之,40,542.9元,-502.9,,-0.2435%
中证500指数 (IC2109),7461.4,8953.6/5969.2,14%,14%,208919.2元,0.23/万分之,0.23/万分之,3.45/万分之,40,549.2元,-509.2,主力合约,-0.2437%
焦炭 (j2109),4502,4862/4142,20%,20%,90040元,3/万分之,1/万分之,3/万分之,50,270.1元,-220.1,,-0.2444%
动力煤ZC (ZC106),800,880/720,20%,20%,16000元,30元,30元,30元,20,60元,-40,,-0.2500%
上证50指数 (IH2203),3127.2,3439.8/2814.6,12%,12%,112579.2元,0.23/万分之,0.23/万分之,3.45/万分之,60,345.2元,-285.2,,-0.2533%
上证50指数 (IH2112),3136.2,3449.8/2822.6,12%,12%,112903.2元,0.23/万分之,0.23/万分之,3.45/万分之,60,346.2元,-286.2,,-0.2535%
上证50指数 (IH2109),3135.8,3762.8/2508.8,12%,12%,112888.8元,0.23/万分之,0.23/万分之,3.45/万分之,60,346.2元,-286.2,主力合约,-0.2535%
上证50指数 (IH2108),3139,3766.8/2511.2,12%,12%,113004元,0.23/万分之,0.23/万分之,3.45/万分之,60,346.5元,-286.5,,-0.2535%
上证50指数 (IH2110),3139,3452.8/2825.2,12%,12%,113004元,0.23/万分之,0.23/万分之,3.45/万分之,60,346.5元,-286.5,,-0.2535%
上证50指数 (IH2107),3410.2,4092.2/2728.2,12%,12%,122767.2元,0.23/万分之,0.23/万分之,3.45/万分之,60,376.5元,-316.5,,-0.2578%
上证50指数 (IH2106),3477,4172.4/2781.6,12%,12%,125172元,0.23/万分之,3.45/万分之,3.45/万分之,60,383.9元,-323.9,,-0.2588%
鲜苹果 (AP110),5545,5878/5212,10%,10%,5545元,5元,5元,20元,10,25元,-15,,-0.2705%
沪深300指数 (IF2203),4742,5216.2/4267.8,12%,12%,170712元,0.23/万分之,0.23/万分之,3.45/万分之,60,523.5元,-463.5,,-0.2715%
沪深300指数 (IF2112),4769.4,5246.2/4292.6,12%,12%,171698.4元,0.23/万分之,0.23/万分之,3.45/万分之,60,526.5元,-466.5,,-0.2717%
沪深300指数 (IF2110),4803.8,5284/4323.6,12%,12%,172936.8元,0.23/万分之,0.23/万分之,3.45/万分之,60,530.3元,-470.3,,-0.2719%
沪深300指数 (IF2109),4820,5784/3856,12%,12%,173520元,0.23/万分之,0.23/万分之,3.45/万分之,60,532.1元,-472.1,主力合约,-0.2721%
沪深300指数 (IF2108),4853.2,5823.8/3882.6,12%,12%,174715.2元,0.23/万分之,0.23/万分之,3.45/万分之,60,535.8元,-475.8,,-0.2723%
沪深300指数 (IF2106),5095.2,6114.2/4076.2,12%,12%,183427.2元,0.23/万分之,3.45/万分之,3.45/万分之,60,562.5元,-502.5,,-0.2740%
沪深300指数 (IF2107),5146,6175.2/4116.8,12%,12%,185256元,0.23/万分之,0.23/万分之,3.45/万分之,60,568.1元,-508.1,,-0.2743%
生猪 (lh2111),12970,14005/11935,15%,15%,31128元,4/万分之,2/万分之,4/万分之,80,166元,-86,,-0.2763%
生猪 (lh2203),13700,14795/12605,15%,15%,32880元,4/万分之,2/万分之,4/万分之,80,175.4元,-95.4,,-0.2901%
生猪 (lh2201),14295,15435/13155,15%,15%,34308元,4/万分之,2/万分之,4/万分之,80,183元,-103,主力合约,-0.3002%
生猪 (lh2205),14920,16110/13730,15%,15%,35808元,4/万分之,2/万分之,4/万分之,80,191元,-111,,-0.3100%
鲜苹果 (AP205),5956,6314/5598,8%,8%,4764.8元,5元,5元,20元,10,25元,-15,,-0.3148%
鲜苹果 (AP204),5887,6241/5533,8%,8%,4709.6元,5元,5元,20元,10,25元,-15,,-0.3185%
生猪 (lh2207),15850,17115/14585,15%,15%,38040元,4/万分之,2/万分之,4/万分之,80,202.9元,-122.9,,-0.3231%
鲜苹果 (AP203),5728,6072/5384,8%,8%,4582.4元,5元,5元,20元,10,25元,-15,,-0.3273%
鲜苹果 (AP201),5641,5980/5302,8%,8%,4512.8元,5元,5元,20元,10,25元,-15,主力合约,-0.3324%
鲜苹果 (AP112),5500,5830/5170,8%,8%,4400元,5元,5元,20元,10,25元,-15,,-0.3409%
鲜苹果 (AP111),5449,5776/5122,8%,8%,4359.2元,5元,5元,20元,10,25元,-15,,-0.3441%
动力煤ZC (ZC204),919.8,993.4/846.2,12%,12%,11037.6元,30元,30元,30元,20,60元,-40,,-0.3624%
动力煤ZC (ZC205),900,972/828,12%,12%,10800元,30元,30元,30元,20,60元,-40,,-0.3704%
动力煤ZC (ZC206),869.2,938.8/799.6,12%,12%,10430.4元,30元,30元,30元,20,60元,-40,,-0.3835%
动力煤ZC (ZC207),864.6,933.8/795.4,12%,12%,10375.2元,30元,30元,30元,20,60元,-40,,-0.3855%
动力煤ZC (ZC208),858.4,927.2/789.6,12%,12%,10300.8元,30元,30元,30元,20,60元,-40,,-0.3883%
动力煤ZC (ZC209),837.2,904.2/770.2,12%,12%,10046.4元,30元,30元,30元,20,60元,-40,,-0.3982%
焦煤 (jm2201),2786,3036.5/2535.5,20%,20%,33432元,6/万分之,6/万分之,6/万分之,30,200.6元,-170.6,主力合约,-0.5103%
焦煤 (jm2112),3011,3281.5/2740.5,20%,20%,36132元,6/万分之,6/万分之,6/万分之,30,216.8元,-186.8,,-0.5170%
焦煤 (jm2111),3243,3534.5/2951.5,20%,20%,38916元,6/万分之,6/万分之,6/万分之,30,233.5元,-203.5,,-0.5229%
焦炭 (j2201),3334,3634/3034,20%,20%,66680元,6/万分之,6/万分之,6/万分之,50,400.1元,-350.1,主力合约,-0.5250%
焦炭 (j2112),3417,3724.5/3109.5,20%,20%,68340元,6/万分之,6/万分之,6/万分之,50,410元,-360,,-0.5268%
焦煤 (jm2110),3536,3854/3218,20%,20%,42432元,6/万分之,6/万分之,6/万分之,30,254.6元,-224.6,,-0.5293%
焦炭 (j2111),3741.5,4078/3405,20%,20%,74830元,6/万分之,6/万分之,6/万分之,50,449元,-399,,-0.5332%
焦炭 (j2110),4106,4475.5/3736.5,20%,20%,82120元,6/万分之,6/万分之,6/万分之,50,492.7元,-442.7,,-0.5391%
动力煤ZC (ZC109),1149.8,1241.8/1057.8,5%,5%,5749元,30元,30元,30元,20,60元,-40,,-0.6958%
